Genes for module 137
LocusLink	Name	P-value	Description
58473	PLEKHB1	0.00108447	pleckstrin homology domain containing, family B (evectins) member 1.KPL1; PHR1; PHRET1.pleckstrin homology domain containing, family B (evectins) member 1.PH domain containing protein in retina 1; binds transducin betagamma but not inositol phosphates, may modulate the phototransduction pathway; contains pleckstrin homology domains|Proteome
869	CBLN1	0.0011264	cerebellin 1 precursor..cerebellin 1 precursor.
56848	SPHK2	0.00114215	sphingosine kinase 2.MEC; CCK1; Scya28; Mtr1; Ltrpc5; 9430099A16Rik; ESTM671070; XB51; 2900010M17Rik; V1; ALDH6; RALDH3.sphingosine kinase type 2 isoform.
1910	EDNRB	0.00114457	endothelin receptor type B.ETB; ETRB; HSCR; ABCDS; HSCR2.endothelin receptor type B isoform 2.
4756	NEO1	0.00117412	neogenin homolog 1 (chicken).NGN.neogenin homolog 1.
2823	GPM6A	0.00150238	glycoprotein M6A.M6A; GPM6.glycoprotein M6A.
2719	GPC3	0.00154655	glypican 3.SGB; DGSX; SDYS; SGBS; SGBS1.glypican 3.
5789	PTPRD	0.00161658	protein tyrosine phosphatase, receptor type, D.HPTP; PTPD; HPTPD; HPTP-DELTA; R-PTP-DELTA.protein tyrosine phosphatase, receptor type, D isoform 4 precursor.
8549	GPR49	0.00162766	G protein-coupled receptor 49.FEX; HG38; LGR5; GPR67; GRP49.G protein-coupled receptor 49.
5649	RELN	0.00175228	reelin.RL.reelin isoform b.
7784	ZP3	0.00182784	zona pellucida glycoprotein 3 (sperm receptor).ZPC; ZP3A; ZP3B; HUMZP3; ZP3-372; ZP3-424.zona pellucida glycoprotein 3 preproprotein.
2185	PTK2B	0.00191797	PTK2B protein tyrosine kinase 2 beta.PKB; PTK; CAKB; FAK2; PYK2; CADTK; FADK2; RAFTK.PTK2B protein tyrosine kinase 2 beta isoform b.
51035		0.00192058	unknown protein LOC51035.May act as a ubiquitin regulatory protein; contains a UBX domain and a UBATHIF-type NADFAD binding fold|Proteome
54861		0.00205446	HSNFRK; FLJ20224; KIAA0096.SNF-1 related kinase.
23345	SYNE1	0.0021095	spectrin repeat containing, nuclear envelope 1.8B; CPG2; MYNE1; MYNE-1; SYNE-1; SYNE-1B; KIAA0796; KIAA1262; KIAA1756; nesprin-1.nesprin 1 isoform longer.
51706		0.00219299	B5R.1.cytochrome b5 reductase 1 (B5R.1).
5362	PLXNA2	0.00224867	plexin A2.OCT; PLXN2; FLJ11751; KIAA0463..
56255		0.00225595	KIAA1162.hypothetical protein DJ971N18.2.
5101	PCDH9	0.0022881	protocadherin 9..protocadherin 9 precursor.
2550	GABBR1	0.00242831	gamma-aminobutyric acid (GABA) B receptor, 1.GPRC3A; GABABR1.gamma-aminobutyric acid (GABA) B receptor 1 isoform d precursor.
9788	MTSS1	0.00260465	metastasis suppressor 1.MIM; MIMA; MIMB; KIAA0429.metastasis suppressor 1.
4990	SIX6	0.00268702	sine oculis homeobox homolog 6 (Drosophila).Six9; OPTX2.sine oculis homeobox homolog 6.
784	CACNB3	0.00322536	calcium channel, voltage-dependent, beta 3 subunit.CACNLB3.calcium channel, voltage-dependent, beta 3 subunit.
3164	NR4A1	0.00362912	nuclear receptor subfamily 4, group A, member 1.HMR; N10; TR3; NP10; GFRP1; NAK-1; NGFIB; NUR77; MGC9485.nuclear receptor subfamily 4, group A, member 1 isoform b.
10406	WFDC2	0.00375925	WAP four-disulfide core domain 2.HE4; WAP5; dJ461P17.6.WAP four-disulfide core domain 2 isoform 5.
8771	TNFRSF6B	0.00381446	tumor necrosis factor receptor superfamily, member 6b, decoy.M68; TR6; DCR3; DJ583P15.1.1.tumor necrosis factor receptor superfamily, member 6b.
124	ADH1A	0.00400648	alcohol dehydrogenase 1A (class I), alpha polypeptide.ADH1.class I alcohol dehydrogenase, alpha subunit.
27229	Pla2g7	0.00411322	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma).Ly102; Pclp1; Nesk; U33; U32; U34; U35; U35; Ask; Dbf4; AZ2; OR93; 912-93; Olfr4-3; MOR175-1; Mm1; Mml; Slam; CD150; IPO-3; CDw150; ESTM51; 4933415F16; Sgkl; CAF-1; Cac1p; 53BP1; m53BP1; 110kDa; Tceb3a; 1700055J08Rik; 2510027P10Rik.gamma tubulin ring complex protein (76p gene).
22932	POMZP3	0.00430845	POM (POM121 homolog, rat) and ZP3 fusion.POM121; MGC8359; POM-ZP3.POMZP3 fusion protein isoform 2.
636	BICD1	0.00444677	Bicaudal D homolog 1 (Drosophila)..Bicaudal D homolog 1.
481	ATP1B1	0.00446905	ATPase, NaK transporting, beta 1 polypeptide.ATP1B.ATPase, NaK transporting, beta 1 polypeptide.
9368	SLC9A3R1	0.00448186	solute carrier family 9 (sodiumhydrogen exchanger), isoform 3 regulatory factor 1.EBP50; NHERF.solute carrier family 9 (sodiumhydrogen exchanger), isoform 3 regulatory factor 1.
3706	ITPKA	0.00477647	inositol 1,4,5-trisphosphate 3-kinase A..1D-myo-inositol-trisphosphate 3-kinase A.
9770	RASSF2	0.00526327	Ras association (RalGDSAF-6) domain family 2.KIAA0168.Ras association domain family 2 isoform 2.
2123	EVI2A	0.00555482	ecotropic viral integration site 2A.EVDA; EVI2.ecotropic viral integration site 2A.
9922		0.00556947	KIAA0763 gene product.
23237	ARC	0.00593463	activity-regulated cytoskeleton-associated protein.KIAA0278.activity-regulated cytoskeleton-associated protein.
5493	PPL	0.00598535	periplakin..periplakin.
6531	SLC6A3	0.0062763	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3.DAT; DAT1.solute carrier family 6 (neurotransmitter transporter, dopamine), member 3.
27090	SIAT7D	0.00644542	sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase).SIAT3C; ST6GALNAC4; ST6GALNACIV.sialyltransferase 7D isoform b.
8324	FZD7	0.00645127	frizzled homolog 7 (Drosophila).FzE3.frizzled 7.
79921		0.00657185	hypothetical protein FLJ21174.
3655	ITGA6	0.00658665	integrin, alpha 6.CD49f.integrin alpha chain, alpha 6.
5676	PSG7	0.00676021	pregnancy specific beta-1-glycoprotein 7..pregnancy specific beta-1-glycoprotein 7.
388	ARHB	0.00678298	ras homolog gene family, member B.ARH6; RHOB; RHOH6.ras homolog gene family, member B.
1140	CHRNB1	0.00725779	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle).ACHRB; CHRNB.nicotinic acetylcholine receptor beta subunit precursor.
53335	BCL11A	0.00750187	B-cell CLLlymphoma 11A (zinc finger protein).2900026I01Rik; 5730435J01Rik; 1110065P14Rik; 76p; MGC28085; 4932441P04Rik; Fubp1; 9530027K12Rik; AA672926; D2Ertd198e; 2810003M17Rik; 5930426I11Rik; 1110053A20Rik; D2Ertd504e; 4930505A13Rik; D1Ertd692e; 4921507O14Rik; 1700025D04Rik; D4S43h; D5H4S43; 4932411A20Rik; 5730576N04Rik; E1; D4S115h; D5H4S115; Doc-1r; 5830466O21Rik; 2810430B18Rik; 1700036B12Rik; MGC7199; 1600027K07Rik; Pibf1; 1700017E21Rik; 4933439E17Rik; 5430429D21Rik; D19Ertd609e; PBK; Topk; 2810434B10Rik; Sapl; D19Bwg1430e; 493052
5129	PCTK3	0.00787132	PCTAIRE protein kinase 3.PCTAIRE; PCTAIRE3.PCTAIRE protein kinase 3.
9823		0.00856802	MGC8742; KIAA0512; MGC13343.ALEX2 protein.
9148	NEURL	0.00947545	neuralized-like (Drosophila).RNF67; h-neu.neuralized-like.
10084	PQBP1	0.00970366	polyglutamine binding protein 1.SHS; MRX55; NPW38.polyglutamine binding protein 1.Activates transcription and binds to polyglutamine tracts; contains a WW domain|Proteome
25809	TTLL1	0.00972677	tubulin tyrosine ligase-like family, member 1.C22ORF7; KIAA0173; HS323M22B.tubulin tyrosine ligase-like family, member 1.
3029	HAGH	0.0101227	hydroxyacylglutathione hydrolase.GLO2; GLXII; HAGH1.hydroxyacyl glutathione hydrolase.
8722	CTSF	0.0103881	cathepsin F.CATSF.cathepsin F.
55218	C14orf114	0.0106023	chromosome 14 open reading frame 114.FLJ10738.chromosome 14 open reading frame 114.
9638	FEZ1	0.011091	fasciculation and elongation protein zeta 1 (zygin I)..zygin 1 isoform 2.
26011		0.0119584	Doc4; DKFZP564O0423..Highly similar to a region of dimeric transmembrane proteins|Proteome
6263	RYR3	0.0132461	ryanodine receptor 3..ryanodine receptor 3.
9662		0.0135016	KIAA0635 gene product.
622	BDH	0.0135378	3
23270	TSPYL4	0.0135925	TSPY-like 4.KIAA0721; dJ486I3.2.KIAA0721 protein.
373	ARFD1	0.0137938	ADP-ribosylation factor domain protein 1, 64kDa.ARD1; RNF46; TRIM23.ADP-ribosylation factor domain protein 1 isoform gamma.
6285	S100B	0.0138211	S100 calcium binding protein, beta (neural).NEF; S100.S100 calcium-binding protein, beta.
2901	GRIK5	0.0139852	glutamate receptor, ionotropic, kainate 5.KA2; EAA2.glutamate receptor KA2 precursor.
114088	TRIM9	0.0144695	tripartite motif-containing 9.RNF91; SPRING; KIAA0282.tripartite motif protein 9 isoform 2.
3775	KCNK1	0.0145602	potassium channel, subfamily K, member 1.DPK; HOHO; TWIK1; TWIK-1.potassium channel, subfamily K, member 1.
6812	STXBP1	0.0145881	syntaxin binding protein 1.UNC18; hUNC18; MUNC18-1.syntaxin binding protein 1.Putative homolog of rat vesicular transport protein Stxbp1; may be a syntaxin binding protein|Proteome
51343		0.0146742	FZR; FZR2; HCDH; HCDH1; KIAA1242.Fzr1 protein.
10079	ATP9A	0.0147157	ATPase, Class II, type 9A.ATPIIA; KIAA0611..
3708	ITPR1	0.0148536	inositol 1,4,5-triphosphate receptor, type 1.IP3R; IP3R1; Insp3r1.inositol 1,4,5-triphosphate receptor, type 1.
54665		0.0151864	hypothetical protein FLJ11220.
23158		0.0159028	
4651	MYO10	0.0166803	myosin X.KIAA0799.myosin X.
1742	DLG4	0.0176483	discs, large homolog 4 (Drosophila).PSD95; SAP90.postsynaptic density protein 95.
22848	AAK1	0.0184805	AP2 associated kinase 1.KIAA1048.AP2 associated kinase 1.
10675	CSPG5	0.0186688	chondroitin sulfate proteoglycan 5 (neuroglycan C).NGC.chondroitin sulfate proteoglycan 5 (neuroglycan C).
6450	SH3BGR	0.0191549	SH3 domain binding glutamic acid-rich protein.SH3GBR; 21-GARP.SH3 domain binding glutamic acid-rich protein.
6507	SLC1A3	0.0194276	solute carrier family 1 (glial high affinity glutamate transporter), member 3.EAAT1; GLAST; GLAST1.solute carrier family 1 (glial high affinity glutamate transporter), member 3.
3892	KRTHB6	0.0197216	keratin, hair, basic, 6 (monilethrix).HB6; MNX; hHb6.keratin, hair, basic, 6.
23522	MYST4	0.0201363	MYST histone acetyltransferase (monocytic leukemia) 4.qkf; MORF; MOZ2; KIAA0383; querkopf.MYST histone acetyltransferase (monocytic leukemia) 4.monocytic leukemia zinc finger protein-related factor, a histone acetyltransferase; may act as both a positive and negative regulator of transcription|Proteome
274	BIN1	0.0202518	bridging integrator 1.AMPH2; AMPHL; SH3P9; MGC10367; DKFZp547F068.bridging integrator 1 isoform 9.
23305	FACL6	0.0203906	fatty-acid-Coenzyme A ligase, long-chain 6.ACS2; LACS2; LACS5; KIAA0837.fatty-acid-Coenzyme A ligase, long-chain 6.
23760	PITPNB	0.0213737	phosphotidylinositol transfer protein, beta.VIB1B.phosphotidylinositol transfer protein, beta.
9762		0.0224277	KIAA0552.ProSAPiP1 protein.
10570	DPYSL4	0.0224359	dihydropyrimidinase-like 4.CRMP3; DRP-4; ULIP4.dihydropyrimidinase-like 4.
11170		0.0227089	DRR1.downregulated in renal cell carcinoma.
3988	LIPA	0.0229041	lipase A, lysosomal acid, cholesterol esterase (Wolman disease).LAL; CESD.lipase A precursor.
27289		0.0239808	RND1.GTP-binding protein RHO6.
7058	THBS2	0.0243983	thrombospondin 2.TSP2.thrombospondin 2 precursor.
26471		0.0249251	COM1.p8 protein (candidate of metastasis 1).
220	ALDH1A3	0.0250452	aldehyde dehydrogenase 1 family, member A3.ALDH6; RALDH3; ALDH1A6.aldehyde dehydrogenase 1A3.
9230	RAB11B	0.0252706	RAB11B, member RAS oncogene family.H-YPT3.RAB11B, member RAS oncogene family.
390	ARHE	0.0254413	ras homolog gene family, member E.RHOE; RND3.ras homolog gene family, member E.
284	ANGPT1	0.0257888	angiopoietin 1.AGP1; AGPT; ANG1; KIAA0003.angiopoietin 1 isoform b.
5730	PTGDS	0.0259669	prostaglandin D2 synthase 21kDa (brain).PDS; PGD2; PGDS; PGDS2.prostaglandin D2 synthase 21kDa.
6773	STAT2	0.0261335	signal transducer and activator of transcription 2, 113kDa.P113; ISGF-3; STAT113; MGC59816.signal transducer and activator of transcription 2.
9028	RHBDL1	0.027598	rhomboid, veinlet-like 1 (Drosophila).RRP; RHBDL.rhomboid, veinlet-like 1.
41	ACCN2	0.0278225	amiloride-sensitive cation channel 2, neuronal.ASIC; BNaC2; ASIC1A.amiloride-sensitive cation channel 2, neuronal isoform b.
10057	ABCC5	0.0288272	ATP-binding cassette, sub-family C (CFTRMRP), member 5.MRP5; SMRP; ABC33; MOATC; MOAT-C; pABC11; EST277145.ATP-binding cassette, sub-family C, member 5.
10659	CUGBP2	0.0292428	CUG triplet repeat, RNA binding protein 2.Etr-3; NAPOR; BRUNOL3; NAPOR-2.CUG triplet repeat, RNA binding protein 2.
6457	SH3GL3	0.0297631	SH3-domain GRB2-like 3.CNSA3; EEN-B2; SH3D2C; SH3P13.SH3-domain GRB2-like 3.
89927		0.0306228	hypothetical gene BC008967.
6324	SCN1B	0.0308759	sodium channel, voltage-gated, type I, beta.GEFSP1.sodium channel, voltage-gated, type I, beta isoform b.
64405	CDH22	0.030944	cadherin-like 22.C20orf25; dJ998H6.1.cadherin 22 precursor.
1855	DVL1	0.0324129	dishevelled, dsh homolog 1 (Drosophila).DVL; MGC54245.dishevelled 1 isoform b.
6515	SLC2A3	0.0331189	solute carrier family 2 (facilitated glucose transporter), member 3.GLUT3.solute carrier family 2 (facilitated glucose transporter), member 3.
1847	DUSP5	0.0336825	dual specificity phosphatase 5.HVH3.dual specificity phosphatase 5.
9781	RNF144	0.0338098	ring finger protein 144.KIAA0161; UBCE7IP4.ring finger protein 144.
5579	PRKCB1	0.034765	protein kinase C, beta 1.PKCB; PRKCB; PRKCB2.protein kinase C, beta 1.
25800	SLC39A6	0.0357695	solute carrier family 39 (zinc transporter), member 6.LIV-1.solute carrier family 39 (zinc transporter), member 6.
1325	CORT	0.0362029	cortistatin.CST-14; CST-17; CST-29; MGC32686.cortistatin isoform b preproprotein.
3628	INPP1	0.03643	inositol polyphosphate-1-phosphatase..inositol polyphosphate-1-phosphatase.
23321	TRIM2	0.036877	tripartite motif-containing 2.RNF86; KIAA0517.tripartite motif-containing 2.
9215	LARGE	0.0376391	like-glycosyltransferase.KIAA0609.like-glycosyltransferase.
8404	SPARCL1	0.0377583	SPARC-like 1 (mast9, hevin).SC1; HEVIN; MAST9.SPARC-like 1.
7321	UBE2D1	0.0378896	ubiquitin-conjugating enzyme E2D 1 (UBC45 homolog, yeast).UBCH5; UBC45; UBCH5A; E2(17)KB1.ubiquitin-conjugating enzyme E2D 1.
1955	EGFL5	0.0395079	EGF-like-domain, multiple 5.MEGF9..
7545	ZIC1	0.0396329	Zic family member 1 (odd-paired homolog, Drosophila).ZIC; ZNF201.zinc finger protein of the cerebellum 1.
4128	MAOA	0.0399856	monoamine oxidase A..monoamine oxidase A.
8543	LMO4	0.0418625	LIM domain only 4..LIM domain only 4.
11127	KIF3A	0.0420895	kinesin family member 3A..kinesin family member 3A.
8659	ALDH4A1	0.0426881	aldehyde dehydrogenase 4 family, member A1.P5CD; ALDH4; P5CDH; P5CDh; P5CDhL; P5CDhS.aldehyde dehydrogenase 4A1 precursor.
1009	CDH11	0.0428354	cadherin 11, type 2, OB-cadherin (osteoblast).OB; CAD11; CDHOB; OSF-4.cadherin 11, type 2 isoform 2 preproprotein.
3983	ABLIM1	0.0437101	actin binding LIM protein 1.abLIM; LIMAB1; LIMATIN; KIAA0059.actin-binding LIM protein 1 isoform s.
4802	NFYC	0.0448327	nuclear transcription factor Y, gamma.HSM; CBFC; HAP5; CBF-C; NF-YC; H1TF2A.nuclear transcription factor Y, gamma.
23476	BRD4	0.045617	bromodomain containing 4.CAP; MCAP; HUNKI.bromodomain-containing protein 4 isoform short.
25849		0.0457616	DKFZP564O0823 protein.Highly similar to rat Castration Induced Prostatic Apoptosis Related protein-1|Proteome
3761	KCNJ4	0.0460076	potassium inwardly-rectifying channel, subfamily J, member 4.HIR; HRK1; HIRK2; Kir2.3.potassium inwardly-rectifying channel J4.
4675	NAP1L3	0.0462438	nucleosome assembly protein 1-like 3.MB20; NPL3.nucleosome assembly protein 1-like 3.
66036	MTMR9	0.0489419	myotubularin related protein 9.MTMR8; C8orf9; LIP-STYX; DKFZp434K171.myotubularin-related protein 9.
9911		0.0489489	KIAA0481.cerebral protein 11.
