Genes for module 137
LocusLink	Name	P-value	Description
5265	SERPINA1	<1e-14	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.PI; A1A; AAT; PI1; A1AT; alpha-1-antitrypsin.serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.
7704	ZNF145	<1e-14	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia).PLZF.zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia).
8490	RGS5	<1e-14	regulator of G-protein signalling 5.MSTP032.regulator of G-protein signalling 5.
9699	RIMS2	<1e-14	regulating synaptic membrane exocytosis 2.OBOE; RIM2; RAB3IP3; KIAA0751.regulating synaptic membrane exocytosis 2.
5413	PNUTL1	<1e-14	peanut-like 1 (Drosophila).H5; SEPT5; CDCREL; CDCREL1; CDCREL-1; HCDCREL-1.peanut-like 1.
51412	ACTL6	<1e-14	actin-like 6.BAF53B.BAF53b.
3897	L1CAM	<1e-14	L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1).S10; HSAS; MASA; MIC5; SPG1; CAML1; CD171; HSAS1; N-CAML1.L1 cell adhesion molecule isoform 2 precursor.
2891	GRIA2	<1e-14	glutamate receptor, ionotropic, AMPA 2.GLUR2; GLURB; HBGR2.glutamate receptor, ionotropic, AMPA 2.
2878	GPX3	<1e-14	glutathione peroxidase 3 (plasma)..plasma glutathione peroxidase 3 precursor.
6696	SPP1	<1e-14	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1).OPN; BNSP; BSPI; ETA-1.secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1).Osteopontin (bone sialoprotein); bone and blood vessel extracellular matrix protein involved in calcification and atherosclerosis|Proteome
3043	HBB	<1e-14	hemoglobin, beta..beta globin.
1466	CSRP2	<1e-14	cysteine and glycine-rich protein 2.CRP2; LMO5.cysteine and glycine-rich protein 2.
4826	NNAT	<1e-14	neuronatin.Peg5; MGC1439.neuronatin isoform beta.
7123	TNA	<1e-14	tetranectin (plasminogen binding protein).TN.tetranectin (plasminogen binding protein).
1524	CX3CR1	<1e-14	chemokine (C-X3-C motif) receptor 1.V28; CCRL1; GPR13; CMKDR1; GPRV28; CMKBRL1.chemokine (C-X3-C motif) receptor 1.
2043	EPHA4	<1e-14	EphA4.SEK; HEK8; TYRO1.ephrin receptor EphA4.
6327	SCN2B	<1e-14	sodium channel, voltage-gated, type II, beta..sodium channel, voltage-gated, type II, beta.
5947	RBP1	<1e-14	retinol binding protein 1, cellular.CRBP; RBPC; CRBP1; CRABP-I.retinol binding protein 1, cellular.
2290	FOXG1B	<1e-14	forkhead box G1B.BF1; QIN; FKH2; HFK1; FKHL1; FKHL4; HBF-1.forkhead box G1B.
2775	GNAO1	<1e-14	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.GNAO; G-ALPHA-o.guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.G-protein alpha subunit o1; subunit of pertussis toxin-sensitive heterotrimeric G-protein complexes|Proteome
7425	VGF	<1e-14	VGF nerve growth factor inducible..VGF nerve growth factor inducible precursor.
64061	Oxct2a	<1e-14	3
1081	CGA	<1e-14	glycoprotein hormones, alpha polypeptide.HCG; LHA; FSHA; GPHa; TSHA; GPHA1; CG-ALPHA.glycoprotein hormones, alpha polypeptide precursor.
63941	APBA2BP	<1e-14	amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein.NIP1; XB51; EFCBP3; NECAB3; SYTIP2; dJ63M2.4; dJ63M2.5.amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein isoform 2.
6663	SOX10	<1e-14	SRY (sex determining region Y)-box 10.DOM; WS4; MGC15649.SRY (sex determining region Y)-box 10.
11013		<1e-14	thymosin, beta, identified in neuroblastoma cells.
1299	COL9A3	<1e-14	collagen, type IX, alpha 3.IDD; MED; EDM3; DJ885L7.4.1.alpha 3 type IX collagen.
